iter	Passed	Remaining
0	3	3593
1	7	3608
2	11	3727
3	14	3541
4	16	3340
5	20	3432
6	24	3483
7	28	3535
8	31	3504
9	34	3411
10	38	3440
11	41	3455
12	45	3458
13	49	3502
14	53	3505
15	56	3496
16	60	3526
17	65	3549
18	68	3545
19	72	3550
20	76	3549
21	79	3549
22	83	3541
23	86	3507
24	90	3514
25	94	3526
26	97	3514
27	101	3535
28	106	3551
29	109	3554
30	113	3543
31	117	3563
32	121	3562
33	124	3549
34	128	3539
35	131	3516
36	135	3531
37	140	3547
38	144	3565
39	147	3536
40	151	3548
41	155	3554
42	160	3566
43	164	3568
44	168	3581
45	173	3589
46	176	3584
47	180	3582
48	184	3589
49	189	3603
50	192	3588
51	195	3564
52	199	3566
53	204	3574
54	207	3564
55	211	3562
56	215	3571
57	220	3578
58	223	3571
59	226	3551
60	230	3552
61	235	3559
62	239	3565
63	242	3544
64	246	3551
65	251	3556
66	254	3546
67	257	3534
68	262	3542
69	267	3548
70	271	3547
71	274	3541
72	279	3544
73	283	3550
74	287	3546
75	291	3541
76	294	3526
77	298	3526
78	302	3529
79	305	3507
80	309	3508
81	313	3513
82	318	3514
83	320	3498
84	324	3488
85	327	3481
86	332	3484
87	336	3485
88	340	3487
89	345	3488
90	349	3488
91	352	3481
92	356	3481
93	361	3483
94	365	3486
95	368	3474
96	373	3480
97	378	3480
98	382	3479
99	385	3467
100	389	3468
101	394	3470
102	398	3468
103	401	3456
104	405	3452
105	409	3456
106	414	3462
107	418	3457
108	423	3458
109	427	3458
110	431	3454
111	434	3446
112	439	3446
113	443	3447
114	447	3444
115	451	3442
116	456	3442
117	460	3444
118	464	3438
119	468	3432
120	472	3433
121	476	3431
122	481	3434
123	486	3436
124	490	3436
125	495	3436
126	498	3427
127	503	3428
128	507	3427
129	511	3424
130	515	3421
131	520	3422
132	524	3421
133	528	3417
134	533	3417
135	537	3414
136	541	3412
137	545	3408
138	550	3408
139	554	3404
140	558	3403
141	562	3401
142	567	3400
143	571	3399
144	575	3394
145	579	3390
146	584	3389
147	588	3389
148	592	3385
149	595	3374
150	599	3370
151	603	3369
152	607	3364
153	611	3359
154	615	3356
155	620	3355
156	623	3350
157	628	3347
158	632	3345
159	637	3344
160	640	3335
161	644	3331
162	648	3330
163	652	3327
164	656	3323
165	659	3313
166	662	3305
167	666	3302
168	671	3300
169	673	3289
170	677	3286
171	682	3283
172	685	3276
173	688	3270
174	692	3262
175	696	3260
176	700	3258
177	704	3255
178	708	3248
179	712	3245
180	716	3243
181	720	3237
182	723	3232
183	728	3232
184	733	3231
185	737	3225
186	741	3224
187	746	3223
188	750	3220
189	754	3217
190	758	3213
191	762	3210
192	766	3206
193	769	3198
194	773	3193
195	777	3187
196	781	3185
197	784	3176
198	788	3174
199	792	3168
200	795	3162
201	799	3159
202	804	3156
203	806	3148
204	810	3142
205	814	3140
206	818	3136
207	822	3130
208	825	3123
209	829	3121
210	833	3115
211	837	3114
212	841	3109
